id	level	weaponType	name	prefab	rof	range	damge	accuracy_min	accuracy_max	reload	price
1	1	1	Scar	WP_1	0.2	20	3	40	80	2	100
1	2	1	Scar	WP_1	0.17	30	6	30	80	2	150
1	3	1	Scar	WP_1	0.15	35	7	40	80	2	200
1	4	1	Scar	WP_1	0.1	40	10	40	80	2	250
1	5	1	Scar	WP_1	0.1	45	12	40	80	2	300
2	1	2	Glock	WP_2	0.5	15	10	50	80	2	350
2	2	2	Glock	WP_2	0.4	15	11	50	80	2	400
2	3	2	Glock	WP_2	0.3	15	12	50	80	2	450
2	4	2	Glock	WP_2	0.2	15	13	50	80	2	500
2	5	2	Glock	WP_2	0.1	15	14	50	80	2	550
5	1	5	Gatling	WP_5	0.1	25	3	60	100	5	600
5	2	5	Gatling	WP_5	0.1	25	5	60	100	5	650
5	3	5	Gatling	WP_5	0.1	25	7	60	100	5	700
5	4	5	Gatling	WP_5	0.1	25	9	60	100	5	750
5	5	5	Gatling	WP_5	0.1	25	11	60	100	5	800
4	1	4	M241	WP_4	0.2	25	5	60	100	3	850
4	2	4	M242	WP_4	0.17	25	6	60	100	3	900
4	3	4	M243	WP_4	0.15	25	7	60	100	3	950
4	4	4	M244	WP_4	0.1	25	8	60	100	3	1000
4	5	4	M245	WP_4	0.1	25	9	60	100	3	1050
3	1	3	Red	WP_3	1	15	2	60	90	1	1100
3	2	3	Red	WP_3	0.7	15	2	60	90	1	1150
3	3	3	Red	WP_3	0.5	15	2	60	90	1	1200
3	4	3	Red	WP_3	0.5	15	3	60	90	1	1250
3	5	3	Red	WP_3	0.5	15	4	60	90	1	1300
